Name,FieldTime,FID,Shape Area,LavaFlow
5/6/13/15,22-May-18,315,1056.91708,LavaFlow
5/6/13/15,22-May-18,316,284.4020541,LavaFlow
5/6/13/15,22-May-18,317,519.8459473,LavaFlow
5/6/13/15,22-May-18,318,874722.0206,LavaFlow
5/6/13/15,22-May-18,319,250.4281694,LavaFlow
5/6/13/15,22-May-18,320,410.9530228,LavaFlow
19/20/22,22-May-18,321,8813.015646,LavaFlow
19/20/22,22-May-18,322,19572.7976,LavaFlow
19/20/22,22-May-18,323,2088.66429,LavaFlow
19/20/22,22-May-18,324,1520.318096,LavaFlow
19/20/22,22-May-18,325,4338.489084,LavaFlow
19/20/22,22-May-18,326,138573.3183,LavaFlow
19/20/22,22-May-18,327,5193.797907,LavaFlow
21,23-May-18,328,16040.13854,LavaFlow
21,23-May-18,329,91075.65812,LavaFlow
21,23-May-18,330,1801.372578,LavaFlow
19/20/22,23-May-18,331,35911.34853,LavaFlow
5/6/13/15,23-May-18,332,141184.5671,LavaFlow
19/20/22,23-May-18,333,6142.001817,LavaFlow
21,23-May-18,334,31332.91996,LavaFlow
21,23-May-18,335,5996.523642,LavaFlow
21,23-May-18,336,59181.72727,LavaFlow
21,23-May-18,337,1458.724363,LavaFlow
5/6/13/15,23-May-18,338,266.982442,LavaFlow
5/6/13/15,22-May-18,339,12740.75025,LavaFlow
19/20/22,23-May-18,340,517.4997693,LavaFlow
19/20/22,23-May-18,341,6908.60367,LavaFlow
19/20/22,23-May-18,342,579.0896781,LavaFlow
19/20/22,23-May-18,343,1494.4796,LavaFlow
5/6/13/15,23-May-18,344,15855.22685,LavaFlow
19/20/22,23-May-18,345,12651.10094,LavaFlow
5/6/13/15,23-May-18,346,6771.013675,LavaFlow
5/6/13/15,23-May-18,347,2497.443315,LavaFlow
7/8/21/24,25-May-18,348,335250.1364,LavaFlow
7/8/21/24,25-May-18,349,343192.4267,LavaFlow
23,25-May-18,350,4001.511922,LavaFlow
5/6/13/15,22-May-18,351,1027.815778,LavaFlow
7/8/21/24,24-May-18,352,1206.884438,LavaFlow
7/8/21/24,24-May-18,353,13537.3589,LavaFlow
5/6/13/15,25-May-18,354,14682.78163,LavaFlow
5/6/13/15,25-May-18,355,8854.271595,LavaFlow
19/20/22,25-May-18,356,3178.615667,LavaFlow
19/20/22,24-May-18,357,4216.831088,LavaFlow
19/20/22,24-May-18,358,1581.075267,LavaFlow
19/20/22,25-May-18,359,2190.456256,LavaFlow
19/20/22,24-May-18,360,1599.951824,LavaFlow
19/20/22,24-May-18,361,12193.72429,LavaFlow
19/20/22,24-May-18,362,2297.274137,LavaFlow
19/20/22,24-May-18,363,9558.654684,LavaFlow
7/8/21/24,26-May-18,364,222285.2494,LavaFlow
5/6/13/15,26-May-18,365,229279.3989,LavaFlow
7/8/21/24,27-May-18,366,49758.72656,LavaFlow
7/8/21/24,27-May-18,367,1033812.915,LavaFlow
7/8/21/24,27-May-18,368,3144.406515,LavaFlow
7/8/21/24,27-May-18,369,266.1813149,LavaFlow
7/8/21/24,27-May-18,370,7168.958899,LavaFlow
7/8/21/24,27-May-18,371,2223.112243,LavaFlow
23,27-May-18,372,31.8337454,LavaFlow
7/8/21/24,27-May-18,373,14434.57704,LavaFlow
7/8/21/24,27-May-18,374,575.6988939,LavaFlow
7/8/21/24,27-May-18,375,158.0941824,LavaFlow
5/6/13/15,27-May-18,376,513.2512756,LavaFlow
5/6/13/15,22-May-18,377,75.19535306,LavaFlow
7/8/21/24,27-May-18,378,1603.353056,LavaFlow
23,27-May-18,379,229.8504436,LavaFlow
7/8/21/24,27-May-18,380,447.2921154,LavaFlow
7/8/21/24,27-May-18,381,189844.8477,LavaFlow
5/6/13/15,27-May-18,382,387197.4038,LavaFlow
5/6/13/15,27-May-18,383,25990.09439,LavaFlow
19/20/22,27-May-18,384,41850.6835,LavaFlow
5/6/13/15,27-May-18,385,105.9853261,LavaFlow
7/8/21/24,27-May-18,386,106.4475077,LavaFlow
7/8/21/24,27-May-18,387,2090.711215,LavaFlow
7/8/21/24,27-May-18,388,178.4122717,LavaFlow
7/8/21/24,27-May-18,389,75.13336903,LavaFlow
7/8/21/24,28-May-18,390,11693.03984,LavaFlow
7/8/21/24,28-May-18,391,13943.36669,LavaFlow
7/8/21/24,28-May-18,392,3675.43846,LavaFlow
7/8/21/24,28-May-18,393,33796.80487,LavaFlow
7/8/21/24,28-May-18,394,678738.8574,LavaFlow
19/20/22,28-May-18,395,2109.645486,LavaFlow
19/20/22,28-May-18,396,2468.005334,LavaFlow
19/20/22,28-May-18,397,7241.216616,LavaFlow
19/20/22,28-May-18,398,2537.143385,LavaFlow
19/20/22,28-May-18,399,3848.719462,LavaFlow
18,28-May-18,400,223707.3855,LavaFlow
7/8/21/24,29-May-18,401,20601.1258,LavaFlow
7/8/21/24,29-May-18,402,343.30133,LavaFlow
7/8/21/24,29-May-18,403,1557.425313,LavaFlow
7/8/21/24,29-May-18,404,4606.564155,LavaFlow
7/8/21/24,29-May-18,405,4019.026912,LavaFlow
7/8/21/24,29-May-18,406,8954.229611,LavaFlow
7/8/21/24,29-May-18,407,7192.42733,LavaFlow
7/8/21/24,29-May-18,408,600789.4008,LavaFlow
18,29-May-18,409,104619.4456,LavaFlow
18,29-May-18,410,114514.273,LavaFlow
5/6/13/15,29-May-18,411,7195.304264,LavaFlow
5/6/13/15,29-May-18,412,1404.555865,LavaFlow
7/8/21/24,29-May-18,413,3140.253315,LavaFlow
7/8/21/24,29-May-18,414,517.9278862,LavaFlow
7/8/21/24,29-May-18,415,3982.046073,LavaFlow
7/8/21/24,29-May-18,416,295.6060956,LavaFlow
7/8/21/24,29-May-18,417,1469.571597,LavaFlow
7/8/21/24,29-May-18,418,4736.842688,LavaFlow
7/8/21/24,29-May-18,419,19172.76717,LavaFlow
7/8/21/24,29-May-18,420,40107.97536,LavaFlow
7/8/21/24,29-May-18,421,659.3621552,LavaFlow
7/8/21/24,29-May-18,422,184327.2273,LavaFlow
7/8/21/24,29-May-18,423,1292.430619,LavaFlow
