objectid,type,name,managedby,island,gis_acre
346,fr,NANAKULI FOREST RESERVE,DOFAW,Oahu,600.370714
347,fr,MOKULEIA FOREST RESERVE,DOFAW,Oahu,2813.27627
348,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW,Oahu,4486.029027
349,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW,Oahu,25.10244105
350,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW,Oahu,0.05127932
351,sw,KAUMAHINA STATE WAYSIDE PARK,DOSP,Maui,7.12349766
352,fr,KAHIKINUI FOREST RESERVE,DOFAW,Maui,713.5931554
353,fr,KULA FOREST RESERVE,DOFAW,Maui,3433.778434
354,fr,KULA FOREST RESERVE,DOFAW,Maui,1497.769175
355,gma,LANAI COOPERATIVE GAME MANAGEMENT AREA,DOFAW,Lanai,34162.58144
356,tnc,KANEPUU PRESERVE (NATURE CONSERVANCY),TNC,Lanai,341.3361255
357,tnc,KANEPUU PRESERVE (NATURE CONSERVANCY),TNC,Lanai,70.1142822
358,tnc,KANEPUU PRESERVE (NATURE CONSERVANCY),TNC,Lanai,17.94157809
359,tnc,KANEPUU PRESERVE (NATURE CONSERVANCY),TNC,Lanai,13.31973331
360,tnc,KANEPUU PRESERVE (NATURE CONSERVANCY),TNC,Lanai,6.36588269
361,tnc,KANEPUU PRESERVE (NATURE CONSERVANCY),TNC,Lanai,28.19555403
