OBJECTID,tmk,tmk_txt,cty_tmk,majorowner,bigstowner,taxacres,landvalue,landexempt,bldgvalue,bldgexempt,pittcode,homeowner,gisacres,nhoodcode,qpub_link,ORIG_FID,x,y,lost,property_class
5029,314031143,314031143,14031143,other,other,0.1846,4300,0,0,0,500,N,0.18444811,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140311430000,57160,-154.9057305,19.50510728,N,AGRICULTURAL
5030,314031144,314031144,14031144,other,other,0.1848,4300,0,0,0,500,N,0.18813777,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140311440000,57161,-154.9054468,19.50511912,N,AGRICULTURAL
5031,314031145,314031145,14031145,other,other,0.186,4400,0,0,0,500,N,0.18936817,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140311450000,57162,-154.9055103,19.50494617,N,AGRICULTURAL
5032,314032001,314032001,14032001,other,other,0.1863,4400,0,0,0,500,N,0.18592539,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140320010000,57163,-154.9121383,19.50653636,N,AGRICULTURAL
5033,314062027,314062027,14062027,other,other,0.1846,4200,0,0,0,100,N,0.18682977,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620270000,57164,-154.9108087,19.50573861,N,RESIDENTIAL
5034,314062028,314062028,14062028,other,other,0.1846,4200,0,0,0,100,N,0.18942716,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620280000,57165,-154.9106415,19.50568869,N,RESIDENTIAL
5035,314062029,314062029,14062029,other,other,0.1846,4200,0,0,0,100,N,0.18530092,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620290000,57166,-154.9104752,19.50563955,N,RESIDENTIAL
5036,314062030,314062030,14062030,other,other,0.1846,4200,0,0,0,100,N,0.18882471,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620300000,57167,-154.9103093,19.50558991,N,RESIDENTIAL
5037,314062031,314062031,14062031,other,other,0.1846,4200,0,0,0,100,N,0.1871729,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620310000,57168,-154.910143,19.50554024,N,RESIDENTIAL
5038,314062056,314062056,14062056,other,other,0.1846,4200,0,0,0,100,N,0.18832575,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620560000,57169,-154.9119582,19.505576,N,RESIDENTIAL
5039,314062057,314062057,14062057,other,other,0.1863,4200,0,0,0,100,N,0.19103811,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620570000,57170,-154.9121283,19.50562222,N,RESIDENTIAL
5040,314063048,314063048,14063048,other,other,0.3086,5200,0,0,0,100,N,0.30958328,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140630480000,57171,-154.9077679,19.50424185,N,RESIDENTIAL
5041,314031010,314031010,14031010,other,other,0.1846,4300,0,0,0,500,N,0.18571725,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140310100000,57172,-154.9059691,19.50823719,N,AGRICULTURAL
5042,314080001,314080001,14080001,other,other,0.1885,4400,0,0,0,500,N,0.19380942,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140800010000,57173,-154.9151215,19.50873111,N,AGRICULTURAL
5043,314080002,314080002,14080002,other,other,0.1848,4300,0,0,0,500,N,0.18620493,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140800020000,57174,-154.9150628,19.50890643,N,AGRICULTURAL
5044,314080003,314080003,14080003,other,other,0.1846,4300,0,0,0,500,N,0.18710421,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140800030000,57175,-154.9153467,19.50889184,N,AGRICULTURAL
5045,314062103,314062103,14062103,other,other,0.1846,4200,0,0,0,100,N,0.18684942,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140621030000,57176,-154.9113524,19.50411253,N,RESIDENTIAL
5046,314062080,314062080,14062080,other,other,0.1846,4200,0,0,0,100,N,0.1905572,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620800000,57177,-154.9099061,19.50406964,N,RESIDENTIAL
5047,314062081,314062081,14062081,other,other,0.1846,4200,0,0,0,100,N,0.18425754,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620810000,57178,-154.9100735,19.5041197,N,RESIDENTIAL
5048,314062082,314062082,14062082,other,other,0.1846,4200,0,0,0,100,N,0.18450545,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620820000,57179,-154.9102381,19.50416896,N,RESIDENTIAL
5049,314062083,314062083,14062083,other,other,0.1846,3500,0,92600,59200,100,Y,0.18615968,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620830000,57180,-154.9104036,19.5042186,N,HOMEOWNER
5050,314062084,314062084,14062084,other,other,0.1846,4200,0,0,0,100,N,0.18524848,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620840000,57181,-154.9105695,19.50426868,N,RESIDENTIAL
5051,314030015,314030015,14030015,other,other,0.2066,4800,0,134000,0,500,N,0.21028688,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140300150000,57182,-154.9027845,19.50489663,N,AFFORDABLE RENTAL
5052,314030016,314030016,14030016,other,other,0.2066,4800,0,0,0,500,N,0.20894554,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140300160000,57183,-154.9028376,19.50473852,N,AGRICULTURAL
5053,314030017,314030017,14030017,other,other,0.2066,4800,0,0,0,500,N,0.21273071,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140300170000,57184,-154.90289,19.50457919,N,AGRICULTURAL
5054,314030018,314030018,14030018,other,other,0.2066,4800,0,0,0,500,N,0.2124438,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140300180000,57185,-154.9029427,19.50441853,N,AGRICULTURAL
5055,314030019,314030019,14030019,other,other,0.2941,6600,0,74700,0,500,N,0.29740068,1425-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140300190000,57186,-154.9030069,19.50422561,N,AGRICULTURAL
5056,314048040,314048040,14048040,other,other,0.2,4300,0,0,0,100,N,0.20300864,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140480400000,57187,-154.9092021,19.49386705,N,RESIDENTIAL
5057,314062021,314062021,14062021,other,other,0.186,4200,0,0,0,100,N,0.18847328,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620210000,57188,-154.9119149,19.50597542,N,RESIDENTIAL
5058,314062022,314062022,14062022,other,other,0.1846,4200,0,0,0,100,N,0.18770182,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620220000,57189,-154.9116381,19.50598745,N,RESIDENTIAL
5059,314062023,314062023,14062023,other,other,0.1846,4200,0,0,0,100,N,0.18813058,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620230000,57190,-154.9114714,19.50593716,N,RESIDENTIAL
5060,314062024,314062024,14062024,other,other,0.1846,4200,0,0,0,100,N,0.18564647,1425-1,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=140620240000,57191,-154.9113054,19.50588741,N,RESIDENTIAL
